name,last_name,birth_date,email,job,company,phone_1,phone_2
Владимир,Михайлов,22.08.1984,vladimir@mikhailov.in,Предприниматель,ИП,+79991111111,+79992222222
Никодим,Партикуляров,10.10.1904,nikodim@yandex.ru,Виночерпий,Его Величества,+79993333333,
Тит,Поляков,2022-04-19,agafonovartem@ao.biz,Инженер-конструктор,АСР-Углесбыт,88780679141,
Любим,Бобылев,2002-12-01,elizaveta1970@ip.org,Проректор,Мечел,+7 (045) 845-77-82,
Евдоким,Тетерин,2001-09-17,martinkonovalov@mumt.info,Сурдолог,ГК Эталон,8 368 664 5190,
Василий,Князев,1991-10-22,nikitinaevpraksija@ao.biz,Металлург,Восточный экспресс банк,8 822 983 81 75,
Лев,Савин,2007-10-17,andreevarkadi@ao.org,Автогонщик,НПК Уралвагонзавод,8 359 117 09 55,
Юрий,Волков,1982-10-07,savinizmail@kudrjashova.com,Социолог,Лаборатория Касперского,+7 300 722 8717,
Нифонт,Сазонов,1971-01-31,filatovrostislav@salim.info,Шорник,ТГК-16,+74800129028,
Фотий,Белозеров,2007-11-10,paramon_17@sorokina.org,Диспетчер,Урало-Сибирская металлургическая компания,+7 174 425 1132,
Нестор,Колобов,1996-03-14,galaktion_93@ao.org,Гример,Росбанк (Societe General),83858111921,
Евсей,Брагин,1994-05-09,zinovi_66@ao.edu,Аналитик,Азбука вкуса,8 781 068 1674,
